"","emotion"
"409","trust"
"410","joy"
"411","anger"
"412","anger"
"413","trust"
"414","trust"
"415","trust"
"416","trust"
"417","anger"
"418","trust"
"419","trust"
"420","trust"
"421","trust"
"422","anticipation"
"423","anger"
"424","anger"
"425","anticipation"
"426","trust"
"427","trust"
"428","trust"
"429","anger"
"430","trust"
"431","trust"
"432","trust"
"433","trust"
"434","trust"
"435","anticipation"
"436","trust"
"437","trust"
"438","trust"
"439","anger"
"440","trust"
"441","trust"
"442","trust"
"443","trust"
"444","trust"
"445","trust"
"446","trust"
"447","trust"
"448","trust"
"449","trust"
"450","trust"
"451","trust"
"452","trust"
"453","joy"
"454","trust"
"455","trust"
"456","trust"
"457","trust"
"458","fear"
"459","trust"
"460",NA
"461","trust"
"462","trust"
"463","trust"
"464","anticipation"
"465","anticipation"
"466","trust"
"467","trust"
"468","trust"
"469","trust"
"470","trust"
"471","trust"
"472","trust"
"473","trust"
"474","fear"
"475","trust"
"476","trust"
"477","anger"
"478","sadness"
"479",NA
"480",NA
"481",NA
"482",NA
"483",NA
"484",NA
"485",NA
"486",NA
"487",NA
"488",NA
"489",NA
"490",NA
"491",NA
"492",NA
"493",NA
"494",NA
"495",NA
"496",NA
"497",NA
"498",NA
"499",NA
"500",NA
"501",NA
"502",NA
"503",NA
"504",NA
"505",NA
"506","anticipation"
"507","trust"
"508","anger"
"509","trust"
"510","fear"
"511","trust"
"512","trust"
"513","trust"
"514","trust"
"515","trust"
"516","anticipation"
"517","trust"
"518","trust"
"519","trust"
"520","trust"
"521","trust"
"522","anger"
"523","anticipation"
"524","trust"
"525","trust"
"526","trust"
"527","trust"
"528","anger"
"529","anticipation"
"530","trust"
"531","trust"
"532","trust"
"533","trust"
"534","trust"
"535","trust"
"536","anger"
"537","anger"
"538","anger"
"539","trust"
"540","trust"
"541","trust"
"542","trust"
"543","anger"
"544","trust"
"545","trust"
"546","trust"
"547","anger"
"548","trust"
"549","trust"
"550","anger"
"551","anger"
"552","trust"
"553","trust"
"554","trust"
"555","anger"
"556","trust"
"557","anticipation"
"558","anticipation"
"559","trust"
"560","anger"
"561","trust"
"562","trust"
"563","trust"
"564","trust"
"565","fear"
"566","anger"
"567","trust"
"568","trust"
"569","fear"
"570","disgust"
"571","trust"
"572","trust"
"573","trust"
"574","surprise"
"575","trust"
"576","trust"
"577","anger"
"578","trust"
"579","anger"
"580","anticipation"
"581","trust"
"582","fear"
"583","trust"
"584","fear"
"585","trust"
"586","trust"
"587","trust"
"588","trust"
"589","trust"
"590","anticipation"
"591","anger"
"592","trust"
"593","trust"
"594","fear"
"595","trust"
"596","trust"
"597","trust"
"598","trust"
"599","anticipation"
"600","anticipation"
"601","trust"
"602","trust"
"603","trust"
"604","anger"
"605",NA
"606","trust"
"607","trust"
"608","trust"
"609","joy"
"610","trust"
"611","trust"
"612","joy"
"613","anticipation"
"614","trust"
"615","trust"
"616","trust"
"617","trust"
"618","trust"
"619","trust"
"620","trust"
"621","joy"
"622","fear"
"623","trust"
"624","trust"
"625","trust"
"626","trust"
"627","anticipation"
"628","fear"
"629","fear"
"630","trust"
"631","trust"
"632","trust"
"633","trust"
"634","fear"
"635","trust"
"636","trust"
"637","trust"
"638","trust"
"639","trust"
"640","trust"
"641","trust"
"642","trust"
"643","trust"
"644","trust"
"645","trust"
"646","trust"
"647","trust"
"648","trust"
"649","trust"
"650","trust"
"651","trust"
"652","trust"
"653","trust"
